0.9046143140	cntf
0.9007845172	tsh
0.8989883985	msp
0.8976663450	aps
0.8975067395	pst
0.8966819469	pth
0.8957254251	ext
0.8954664161	gip
0.8951204443	adh
0.8950662220	ga
0.8945643164	sts
0.8943096545	lap
0.8937646238	lp
0.8934337585	hcv
0.8926149419	fgfr
0.8926113239	icos
0.8922590869	pap
0.8921014935	lh
0.8917576708	lf
0.8914244283	msr
0.8913654580	dbp
0.8913307411	nlk
0.8911449786	rar
0.8904030318	ra
0.8902722942	icl
0.8900764187	gist
0.8897682330	bm
0.8895366367	cb
0.8894013676	dff
0.8891763066	cfp
0.8890622950	pam
0.8887389015	ha
0.8887115209	hae
0.8884565435	odc
0.8883791691	lifr
0.8883449306	ugt
0.8882496752	opn
0.8880748528	thf
0.8879864260	acc
0.8879666639	pr
0.8878223386	gr
0.8878202330	lpl
0.8875598911	dm
0.8872761722	pe
0.8866034698	csn
0.8865623955	ggt
0.8864703351	ip
0.8864227084	ere
0.8864110772	pkb
0.8862470327	ace
0.8861737756	ngf
0.8860247770	pact
0.8858802766	tf
0.8857612418	fsh
0.8857106594	ang
0.8855903413	nfat
0.8855631846	iap
0.8855232902	rpa
0.8852336081	orc
0.8851590339	mbl
0.8850407445	comp
0.8849442916	lxr
0.8848335649	marcks
0.8847106003	sre
0.8845982352	mpo
0.8845645123	pkr
0.8844308586	pdx
0.8843513978	nsf
0.8841975851	hdl
0.8841220327	tbp
0.8840598911	trbp
0.8839071134	gdi
0.8839017651	tpa
0.8838614260	paps
0.8836553661	risc
0.8835198597	msh
0.8834330153	ne
0.8832354117	utr
0.8831933292	ron
0.8831553661	crd
0.8830274903	xpc
0.8826288333	card
0.8824590869	vldl
0.8824533119	nbc
0.8824347312	pde
0.8823218981	cs
0.8822251307	sirp
0.8821979260	dpa
0.8821905251	ahr
0.8821394844	ampk
0.8820856003	gdnf
0.8819366155	tfg
0.8819126384	micos
0.8817814041	tr
0.8816974764	np
0.8816388897	atrx
0.8815393448	mcu
0.8815370473	cte
0.8814725836	pomc
0.8814385736	aqp
0.8813732646	prl
0.8813489160	bpi
0.8813215057	vhl
0.8812607261	snt
0.8811212022	mao
0.8810115204	acth
0.8808444608	smn
0.8808092700	avp
0.8807911273	rock
0.8807004251	mrn
